PP,Soc_NonSoc,StimImage,ValenceUserChoice
66,Social,Snewes38border.jpg,9
66,NonSocial,5779.jpg,6
66,Social,SnewIAPS35.jpg,7
66,NonSocial,7400.jpg,6
66,Social,Snewes42.jpg,8
66,Social,wedding3.jpg,6
66,Social,SnewIAPS29Lum.jpg,6
66,Social,fam1reading.jpg,8
66,NonSocial,NSadj41rj.jpg,6
66,Social,Snews22.jpg,8
66,NonSocial,cake8borderLum.jpg,6
66,Social,Snews26.jpg,5
66,NonSocial,7508.jpg,6
66,NonSocial,7260.jpg,6
66,NonSocial,8503.jpg,5
66,Social,Snewes7Lum.jpg,9
66,Social,family2.jpg,9
66,Social,SnewIAPS31.jpg,8
66,Social,SnewIAPS28.jpg,6
66,Social,SnewIAPS30.jpg,5
66,NonSocial,yatch.jpg,6
66,Social,Snews7.jpg,6
66,Social,famreadingborderLum.jpg,8
66,Social,wedding.jpg,7
66,Social,smilee.jpg,9
66,Social,SnewIAPS36.jpg,9
66,Social,Snews2Lum.jpg,5
66,NonSocial,7350.jpg,6
66,Social,Snews5.jpg,7
66,NonSocial,cake3.jpg,6
66,NonSocial,NSadj1ns1rj.jpg,7
66,Social,SnewIAPS27.jpg,8
66,NonSocial,NSadj64rjborder.jpg,7
66,NonSocial,7200.jpg,6
66,NonSocial,NSnew12.jpg,7
66,NonSocial,7502Lum.jpg,7
66,Social,smile1.jpg,9
66,NonSocial,NSnew3Lum.jpg,5
66,NonSocial,NSnew14.jpg,4
66,NonSocial,chips.jpg,5
66,NonSocial,NSnew7.jpg,6
66,Social,5628.jpg,6
66,Social,Snews25.jpg,9
66,NonSocial,chocolate3border.jpg,6
66,NonSocial,pizza3.jpg,5
66,Social,Snewes8black.jpg,7
66,Social,Snewes10.jpg,9
66,Social,wedding2.jpg,9
66,NonSocial,7430Lum.jpg,5
66,NonSocial,NSadj34rjborderLum.jpg,5
66,NonSocial,8531Lum.jpg,6
66,Social,2165.jpg,9
66,NonSocial,NSnew30.jpg,7
66,Social,Snews27.jpg,8
66,Social,SnewIAPS13.jpg,8
66,NonSocial,cake2.jpg,5
66,NonSocial,pizza.jpg,5
66,Social,Snews6.jpg,9
66,Social,SnewIAPS8.jpg,8
66,NonSocial,ring2Lum.jpg,5
66,NonSocial,choco9border.jpg,5
66,NonSocial,5982.jpg,6
66,Social,family.jpg,7
66,Social,8496.jpg,7
66,NonSocial,ferrari2.jpg,6
66,NonSocial,5760Lum.jpg,9
66,Social,smile6.jpg,8
66,NonSocial,5480.jpg,7
66,Social,Snews24.jpg,6
66,Social,childreadingborder.jpg,8
66,NonSocial,5001.jpg,7
66,Social,5830.jpg,8
66,NonSocial,7270Lum.jpg,6
66,Social,SnewIAPS14Lum.jpg,6
66,Social,SnewIAPS17.jpg,7
66,NonSocial,7281.jpg,6
66,NonSocial,NSadj1ns21rjLum.jpg,7
66,NonSocial,popcorn.jpg,6
66,NonSocial,cake7border.jpg,6
66,NonSocial,NSadj36apaintrj.jpg,6
67,NonSocial,NSadj1ns21rjLum.jpg,6
67,Social,SnewIAPS14Lum.jpg,6
67,NonSocial,NSadj64rjborder.jpg,8
67,NonSocial,yatch.jpg,6
67,Social,SnewIAPS31.jpg,4
67,Social,Snews27.jpg,7
67,NonSocial,8503.jpg,9
67,Social,Snews6.jpg,8
67,Social,Snews25.jpg,9
67,Social,Snews7.jpg,4
